des,year,month,day_of_year,days_from_now,dist_km,diameter_km,v_rel,h,threat_score,kinetic_energy_megatons,india_visible,best_observatory,threat_category
2021 KC,2021,5,141,-1769.1569351665628,3021037.3974116505,6.882791608224603e-05,7.87194719133812,23.46,1.7934558544475533e-10,1.896382978572973e-09,1,2,watch
2021 HJ2,2021,5,142,-1769.127768499896,6161461.5591785805,7.24043435732271e-05,8.23461329457666,23.35,9.676628904468532e-11,2.415728498710565e-09,1,2,monitor
2021 JY9,2021,5,142,-1768.7201296110072,1469946.4771829478,1.4919855621767028e-05,7.9819919035646,26.78,8.101666871811916e-11,1.9860229849706088e-11,0,2,watch
2021 KH2,2021,5,142,-1768.629157388785,940954.5021396019,2.922567971417673e-05,6.43370599538756,25.32,1.9982839804562518e-10,9.698043465322961e-11,0,2,watch
2021 KW,2021,5,142,-1768.5006851665628,763057.3145031051,9.413792483138004e-06,15.5238253979102,27.78,1.9151650611665711e-10,1.8869448338129252e-11,0,0,watch
2021 JK7,2021,5,142,-1768.4222129443406,7281057.280159319,4.547415319555662e-05,22.3189188243658,24.36,1.3939375762694106e-10,4.39650943851342e-09,0,0,monitor
2021 KL1,2021,5,143,-1767.9236018332294,1230443.7987682035,1.1111293527590923e-05,10.8425567275975,27.42,9.791168886421209e-11,1.5136487641528467e-11,1,4,watch
2021 JJ5,2021,5,143,-1767.8374907221182,5012349.848190826,3.146042755699839e-05,8.68433049395279,25.16,5.450791717674059e-11,2.204115710327265e-10,1,4,monitor
2021 KC1,2021,5,143,-1767.8194351665627,6141316.595056982,2.186576219385461e-05,7.58094478699761,25.95,2.699146564934477e-11,5.639081506162443e-11,1,3,monitor
2021 KW2,2021,5,143,-1767.3124907221184,639690.7282431822,1.1796810972974223e-05,6.67185923602698,27.29,1.2303861658564118e-10,6.858915530083318e-12,0,0,watch
2021 KO,2021,5,143,-1767.2305462776737,4765421.892136802,1.8271096885111613e-05,7.99284057662937,26.34,3.064533799280541e-11,3.657328801034022e-11,0,0,watch
2021 JJ7,2021,5,144,-1766.590268499896,2216189.6878357376,4.4850224423228434e-05,11.4113663132094,24.39,2.3093796660651411e-10,1.1026482641386915e-09,0,3,watch
2021 KL,2021,5,144,-1766.5492962776739,1108586.0520569044,1.142259083963068e-05,11.558924217395,27.36,1.1910023731276752e-10,1.8689450707316524e-11,1,0,watch
2021 FN4,2021,5,144,-1766.5444351665628,2321949.6144817965,8.19907049621545e-05,8.27379772400844,23.08,2.921572905263573e-10,3.5413716223823194e-09,1,0,watch
2025 WM3,2021,5,144,-1766.1972129443404,6833522.270319984,2.5337550105311555e-05,10.1071204831551,25.63,3.7475501144502963e-11,1.5596120792927244e-10,0,0,monitor
2021 KA17,2021,5,145,-1766.0972129443405,5632017.859924828,0.000140528567917652,10.6170680832787,21.91,2.649141764701862e-10,2.936100447638728e-08,0,0,monitor
2021 HD3,2021,5,145,-1765.9895740554516,4654940.313283959,4.322794801515621e-05,7.93866399244006,24.47,7.372213847633437e-11,4.778114424139913e-10,0,0,watch
2013 VO11,2021,5,145,-1765.7472129443406,1323123.41668813,7.409085738917131e-06,10.1796024995293,28.3,5.700265504777559e-11,3.955699969448634e-12,1,0,watch
2021 LN,2021,5,145,-1765.5333240554517,2219763.0108140605,5.7778281506560516e-05,11.0457802325106,23.84,2.8751096248763403e-10,2.208790374365693e-09,1,0,watch
2021 JG1,2021,5,146,-1764.5395740554516,844088.3246342118,3.782375314963675e-05,9.15318743140949,24.76,4.1015601310208913e-10,4.255067126297421e-10,0,2,watch
2021 JN7,2021,5,146,-1764.5194351665627,7238223.391321344,3.219323505323276e-05,7.40556915014651,25.11,3.293753390362189e-11,1.7174281921044558e-10,0,2,monitor
2021 KP,2021,5,147,-1764.0972129443405,611028.4080101742,2.0312558099414445e-05,11.1140967823019,26.11,3.694684791304555e-10,9.716504435231955e-11,0,2,watch
2021 JF1,2021,5,147,-1764.0909629443406,5262033.281410605,0.00011905965520975346,17.2835998156879,22.27,3.910616533173136e-10,4.731840627572845e-08,0,2,monitor
2021 LL15,2021,5,147,-1763.6319351665627,1553221.4080334853,1.7209356073147527e-05,10.3662551612889,26.47,1.1485585718367722e-10,5.140501542801857e-11,0,2,watch
2021 LV,2021,5,147,-1763.5847129443405,280638.15421733743,8.826014173274625e-06,14.8876903054888,27.92,4.682149011777164e-10,1.4302644909528715e-11,0,2,watch
